wave,cl5_398645626ccs_f0030004ccam02013p3,cl5_398646038ccs_f0030004ccam03013p3
391.53995,168000000000.0,80600000000.0
391.58694,142000000000.0,80400000000.0
391.63394,127000000000.0,77000000000.0
391.68094,126000000000.0,78200000000.0
391.72791,135000000000.0,81600000000.0
391.77487,151000000000.0,89600000000.0
391.82184,164000000000.0,95800000000.0
391.8688,181000000000.0,103000000000.0
391.91577,196000000000.0,110000000000.0
391.96274,225000000000.0,123000000000.0
392.00967,253000000000.0,132000000000.0
392.05664,283000000000.0,141000000000.0
392.10358,319000000000.0,157000000000.0
392.15051,337000000000.0,162000000000.0
392.19742,321000000000.0,160000000000.0
392.24435,310000000000.0,165000000000.0
392.29129,314000000000.0,165000000000.0
392.3382,360000000000.0,184000000000.0
392.3851,409000000000.0,200000000000.0
392.43201,428000000000.0,208000000000.0
392.47891,395000000000.0,206000000000.0
392.52582,363000000000.0,204000000000.0
392.57269,377000000000.0,213000000000.0
392.61957,409000000000.0,235000000000.0
392.66647,415000000000.0,239000000000.0
392.71335,449000000000.0,259000000000.0
392.76019,489000000000.0,281000000000.0
392.80707,543000000000.0,308000000000.0
392.85394,628000000000.0,345000000000.0
392.90079,698000000000.0,378000000000.0
392.94763,763000000000.0,422000000000.0
392.99448,767000000000.0,441000000000.0
393.04132,879000000000.0,514000000000.0
393.08817,1020000000000.0,588000000000.0
393.13498,1300000000000.0,749000000000.0
393.18179,1520000000000.0,896000000000.0
393.22864,2100000000000.0,1270000000000.0
393.27545,3190000000000.0,1880000000000.0
393.32227,5140000000000.0,2870000000000.0
393.36905,8300000000000.0,4460000000000.0
393.41586,11800000000000.0,5530000000000.0
393.46265,14300000000000.0,5580000000000.0
393.50943,12900000000000.0,5400000000000.0
393.55621,8320000000000.0,4290000000000.0
393.603,4100000000000.0,2330000000000.0
393.64978,2090000000000.0,1290000000000.0
393.69653,1440000000000.0,898000000000.0
393.74332,1090000000000.0,677000000000.0
393.79007,887000000000.0,549000000000.0
393.83682,735000000000.0,459000000000.0
393.88358,643000000000.0,400000000000.0
393.93033,549000000000.0,342000000000.0
393.97705,488000000000.0,302000000000.0
394.0238,452000000000.0,279000000000.0
394.07053,420000000000.0,256000000000.0
394.11725,397000000000.0,235000000000.0
394.16397,406000000000.0,232000000000.0
394.21066,397000000000.0,215000000000.0
394.25739,413000000000.0,208000000000.0
394.30408,488000000000.0,213000000000.0
394.3508,688000000000.0,244000000000.0
394.39749,971000000000.0,283000000000.0
394.44415,1430000000000.0,358000000000.0
394.49084,1860000000000.0,425000000000.0
394.53754,1870000000000.0,425000000000.0
394.5842,1320000000000.0,333000000000.0
394.63086,669000000000.0,221000000000.0
394.67752,429000000000.0,179000000000.0
394.72418,364000000000.0,163000000000.0
394.77084,326000000000.0,150000000000.0
394.81747,334000000000.0,150000000000.0
394.86414,333000000000.0,146000000000.0
394.91077,350000000000.0,151000000000.0
394.9574,343000000000.0,148000000000.0
395.00403,325000000000.0,143000000000.0
395.05066,285000000000.0,133000000000.0
395.09726,263000000000.0,131000000000.0
395.14389,248000000000.0,126000000000.0
395.19049,250000000000.0,130000000000.0
395.23709,250000000000.0,131000000000.0
395.28369,243000000000.0,129000000000.0
395.33029,249000000000.0,132000000000.0
395.37686,254000000000.0,133000000000.0
395.42343,267000000000.0,138000000000.0
395.47003,278000000000.0,141000000000.0
395.5166,299000000000.0,149000000000.0
395.56317,313000000000.0,153000000000.0
395.60971,320000000000.0,154000000000.0
395.65628,340000000000.0,156000000000.0
395.70282,380000000000.0,167000000000.0
395.74936,411000000000.0,172000000000.0
395.7959,428000000000.0,177000000000.0
395.84244,415000000000.0,175000000000.0
395.88898,414000000000.0,171000000000.0
395.93552,434000000000.0,174000000000.0
395.98203,453000000000.0,181000000000.0
396.02853,508000000000.0,197000000000.0
396.07504,723000000000.0,245000000000.0
396.12155,1100000000000.0,315000000000.0
396.16806,1700000000000.0,425000000000.0
396.21454,2390000000000.0,552000000000.0
396.26105,3020000000000.0,675000000000.0
396.30753,2570000000000.0,602000000000.0
396.354,1530000000000.0,431000000000.0
396.40048,833000000000.0,327000000000.0
396.44696,672000000000.0,316000000000.0
396.49341,644000000000.0,325000000000.0
396.53986,669000000000.0,359000000000.0
396.58633,745000000000.0,416000000000.0
396.63278,876000000000.0,507000000000.0
396.6792,1120000000000.0,657000000000.0
396.72565,1630000000000.0,945000000000.0
396.77209,2660000000000.0,1500000000000.0
396.81851,4260000000000.0,2310000000000.0
396.86493,6840000000000.0,3580000000000.0
396.91135,9620000000000.0,4530000000000.0
396.95776,10400000000000.0,4570000000000.0
397.00418,8180000000000.0,3900000000000.0
397.05057,4390000000000.0,2260000000000.0
397.09698,2020000000000.0,1140000000000.0
397.14337,1200000000000.0,707000000000.0
397.18976,883000000000.0,523000000000.0
397.23615,735000000000.0,430000000000.0
397.2825,648000000000.0,376000000000.0
397.32889,594000000000.0,339000000000.0
397.37524,564000000000.0,314000000000.0
397.4216,548000000000.0,299000000000.0
397.46796,500000000000.0,274000000000.0
397.51431,435000000000.0,244000000000.0
397.56067,371000000000.0,210000000000.0
397.60699,331000000000.0,191000000000.0
397.65335,299000000000.0,174000000000.0
397.69968,283000000000.0,162000000000.0
397.746,267000000000.0,150000000000.0
397.79233,259000000000.0,145000000000.0
397.83862,246000000000.0,137000000000.0
397.88495,241000000000.0,134000000000.0
397.93124,220000000000.0,124000000000.0
397.97754,204000000000.0,117000000000.0
398.02383,198000000000.0,114000000000.0
398.07013,189000000000.0,107000000000.0
398.11642,196000000000.0,106000000000.0
398.16269,206000000000.0,104000000000.0
398.20895,226000000000.0,103000000000.0
398.25522,253000000000.0,106000000000.0
398.30148,262000000000.0,107000000000.0
398.34775,244000000000.0,106000000000.0
398.39401,204000000000.0,98000000000.0
